"symbol","name","sector","is_index","active","created_at"
"^GSPC",\N,\N,"1","1","2025-09-23 17:19:17"
"A","Agilent Technologies","Health Care","0","1","2025-09-23 17:19:17"
"AAPL","Apple Inc.","Information Technology","0","1","2025-09-23 17:19:17"
"ABBV","AbbVie","Health Care","0","1","2025-09-23 17:19:17"
"ABNB","Airbnb","Consumer Discretionary","0","1","2025-09-23 17:19:17"
"ABT","Abbott Laboratories","Health Care","0","1","2025-09-23 17:19:17"
"ACGL","Arch Capital Group","Financials","0","1","2025-09-23 17:19:17"
"ACN","Accenture","Information Technology","0","1","2025-09-23 17:19:17"
"ADBE","Adobe Inc.","Information Technology","0","1","2025-09-23 17:19:17"
"ADI","Analog Devices","Information Technology","0","1","2025-09-23 17:19:17"
"ADM","Archer Daniels Midland","Consumer Staples","0","1","2025-09-23 17:19:17"
"ADP","Automatic Data Processing","Industrials","0","1","2025-09-23 17:19:17"
"ADSK","Autodesk","Information Technology","0","1","2025-09-23 17:19:17"
"AEE","Ameren","Utilities","0","1","2025-09-23 17:19:17"
"AEP","American Electric Power","Utilities","0","1","2025-09-23 17:19:17"
"AES","AES Corporation","Utilities","0","1","2025-09-23 17:19:17"
"AFL","Aflac","Financials","0","1","2025-09-23 17:19:17"
"AIG","American International Group","Financials","0","1","2025-09-23 17:19:17"
"AIZ","Assurant","Financials","0","1","2025-09-23 17:19:17"
"AJG","Arthur J. Gallagher & Co.","Financials","0","1","2025-09-23 17:19:17"
"AKAM","Akamai Technologies","Information Technology","0","1","2025-09-23 17:19:17"
"ALB","Albemarle Corporation","Materials","0","1","2025-09-23 17:19:17"
"ALGN","Align Technology","Health Care","0","1","2025-09-23 17:19:17"
"ALL","Allstate","Financials","0","1","2025-09-23 17:19:17"
"ALLE","Allegion","Industrials","0","1","2025-09-23 17:19:17"
"AMAT","Applied Materials","Information Technology","0","1","2025-09-23 17:19:17"
"AMCR","Amcor","Materials","0","1","2025-09-23 17:19:17"
"AMD","Advanced Micro Devices","Information Technology","0","1","2025-09-23 17:19:17"
"AME","Ametek","Industrials","0","1","2025-09-23 17:19:17"
"AMGN","Amgen","Health Care","0","1","2025-09-23 17:19:17"
"AMP","Ameriprise Financial","Financials","0","1","2025-09-23 17:19:17"
"AMT","American Tower","Real Estate","0","1","2025-09-23 17:19:17"
"AMZN","Amazon","Consumer Discretionary","0","1","2025-09-23 17:19:17"
"ANET","Arista Networks","Information Technology","0","1","2025-09-23 17:19:17"
"AON","Aon plc","Financials","0","1","2025-09-23 17:19:17"
"AOS","A. O. Smith","Industrials","0","1","2025-09-23 17:19:17"
"APA","APA Corporation","Energy","0","1","2025-09-23 17:19:17"
"APD","Air Products","Materials","0","1","2025-09-23 17:19:17"
"APH","Amphenol","Information Technology","0","1","2025-09-23 17:19:17"
"APO","Apollo Global Management","Financials","0","1","2025-09-23 17:19:17"
"APP","AppLovin","Information Technology","0","1","2025-09-23 17:19:17"
"APTV","Aptiv","Consumer Discretionary","0","1","2025-09-23 17:19:17"
"ARE","Alexandria Real Estate Equities","Real Estate","0","1","2025-09-23 17:19:17"
"ATO","Atmos Energy","Utilities","0","1","2025-09-23 17:19:17"
"AVB","AvalonBay Communities","Real Estate","0","1","2025-09-23 17:19:17"
"AVGO","Broadcom","Information Technology","0","1","2025-09-23 17:19:17"
"AVY","Avery Dennison","Materials","0","1","2025-09-23 17:19:17"
"AWK","American Water Works","Utilities","0","1","2025-09-23 17:19:17"
"AXON","Axon Enterprise","Industrials","0","1","2025-09-23 17:19:17"
"AXP","American Express","Financials","0","1","2025-09-23 17:19:17"
"AZO","AutoZone","Consumer Discretionary","0","1","2025-09-23 17:19:17"
"BA","Boeing","Industrials","0","1","2025-09-23 17:19:17"
"BAC","Bank of America","Financials","0","1","2025-09-23 17:19:17"
"BALL","Ball Corporation","Materials","0","1","2025-09-23 17:19:17"
"BAX","Baxter International","Health Care","0","1","2025-09-23 17:19:17"
"BBY","Best Buy","Consumer Discretionary","0","1","2025-09-23 17:19:17"
"BDX","Becton Dickinson","Health Care","0","1","2025-09-23 17:19:17"
"BEN","Franklin Resources","Financials","0","1","2025-09-23 17:19:17"
"BF-B","Brown–Forman","Consumer Staples","0","1","2025-09-23 17:19:17"
"BG","Bunge Global","Consumer Staples","0","1","2025-09-23 17:19:17"
"BIIB","Biogen","Health Care","0","1","2025-09-23 17:19:17"
"BK","BNY Mellon","Financials","0","1","2025-09-23 17:19:17"
"BKNG","Booking Holdings","Consumer Discretionary","0","1","2025-09-23 17:19:17"
"BKR","Baker Hughes","Energy","0","1","2025-09-23 17:19:17"
"BLDR","Builders FirstSource","Industrials","0","1","2025-09-23 17:19:17"
"BLK","BlackRock","Financials","0","1","2025-09-23 17:19:17"
"BMY","Bristol Myers Squibb","Health Care","0","1","2025-09-23 17:19:17"
"BR","Broadridge Financial Solutions","Industrials","0","1","2025-09-23 17:19:17"
"BRK-B","Berkshire Hathaway","Financials","0","1","2025-09-23 17:19:17"
"BRO","Brown & Brown","Financials","0","1","2025-09-23 17:19:17"
"BSX","Boston Scientific","Health Care","0","1","2025-09-23 17:19:17"
"BX","Blackstone Inc.","Financials","0","1","2025-09-23 17:19:17"
"BXP","BXP, Inc.","Real Estate","0","1","2025-09-23 17:19:17"
"C","Citigroup","Financials","0","1","2025-09-23 17:19:17"
"CAG","Conagra Brands","Consumer Staples","0","1","2025-09-23 17:19:17"
"CAH","Cardinal Health","Health Care","0","1","2025-09-23 17:19:17"
"CARR","Carrier Global","Industrials","0","1","2025-09-23 17:19:17"
"CAT","Caterpillar Inc.","Industrials","0","1","2025-09-23 17:19:17"
"CB","Chubb Limited","Financials","0","1","2025-09-23 17:19:17"
"CBOE","Cboe Global Markets","Financials","0","1","2025-09-23 17:19:17"
"CBRE","CBRE Group","Real Estate","0","1","2025-09-23 17:19:17"
"CCI","Crown Castle","Real Estate","0","1","2025-09-23 17:19:17"
"CCL","Carnival","Consumer Discretionary","0","1","2025-09-23 17:19:17"
"CDNS","Cadence Design Systems","Information Technology","0","1","2025-09-23 17:19:17"
"CDW","CDW Corporation","Information Technology","0","1","2025-09-23 17:19:17"
"CEG","Constellation Energy","Utilities","0","1","2025-09-23 17:19:17"
"CF","CF Industries","Materials","0","1","2025-09-23 17:19:17"
"CFG","Citizens Financial Group","Financials","0","1","2025-09-23 17:19:17"
"CHD","Church & Dwight","Consumer Staples","0","1","2025-09-23 17:19:17"
"CHRW","C.H. Robinson","Industrials","0","1","2025-09-23 17:19:17"
"CHTR","Charter Communications","Communication Services","0","1","2025-09-23 17:19:17"
"CI","Cigna","Health Care","0","1","2025-09-23 17:19:17"
"CINF","Cincinnati Financial","Financials","0","1","2025-09-23 17:19:17"
"CL","Colgate-Palmolive","Consumer Staples","0","1","2025-09-23 17:19:17"
"CLX","Clorox","Consumer Staples","0","1","2025-09-23 17:19:17"
"CMCSA","Comcast","Communication Services","0","1","2025-09-23 17:19:17"
"CME","CME Group","Financials","0","1","2025-09-23 17:19:17"
"CMG","Chipotle Mexican Grill","Consumer Discretionary","0","1","2025-09-23 17:19:17"
"CMI","Cummins","Industrials","0","1","2025-09-23 17:19:17"
"CMS","CMS Energy","Utilities","0","1","2025-09-23 17:19:17"
"CNC","Centene Corporation","Health Care","0","1","2025-09-23 17:19:17"
"CNP","CenterPoint Energy","Utilities","0","1","2025-09-23 17:19:17"
"COF","Capital One","Financials","0","1","2025-09-23 17:19:17"
"COIN","Coinbase","Financials","0","1","2025-09-23 17:19:17"
"COO","Cooper Companies (The)","Health Care","0","1","2025-09-23 17:19:17"
"COP","ConocoPhillips","Energy","0","1","2025-09-23 17:19:17"
"COR","Cencora","Health Care","0","1","2025-09-23 17:19:17"
"COST","Costco","Consumer Staples","0","1","2025-09-23 17:19:17"
"CPAY","Corpay","Financials","0","1","2025-09-23 17:19:17"
"CPB","Campbell's Company (The)","Consumer Staples","0","1","2025-09-23 17:19:17"
"CPRT","Copart","Industrials","0","1","2025-09-23 17:19:17"
"CPT","Camden Property Trust","Real Estate","0","1","2025-09-23 17:19:17"
"CRL","Charles River Laboratories","Health Care","0","1","2025-09-23 17:19:17"
"CRM","Salesforce","Information Technology","0","1","2025-09-23 17:19:17"
"CRWD","CrowdStrike","Information Technology","0","1","2025-09-23 17:19:17"
"CSCO","Cisco","Information Technology","0","1","2025-09-23 17:19:17"
"CSGP","CoStar Group","Real Estate","0","1","2025-09-23 17:19:17"
"CSX","CSX Corporation","Industrials","0","1","2025-09-23 17:19:17"
"CTAS","Cintas","Industrials","0","1","2025-09-23 17:19:17"
"CTRA","Coterra","Energy","0","1","2025-09-23 17:19:17"
