,close_price,position,action
0,98.849998,HALF-LONG,HALF-LONG
1,98.849998,FULL-LONG,BUY
2,98.360001,FULL-LONG,HOLD
3,98.360001,FULL-SHORT,SELL
4,98.360001,FULL-SHORT,HOLD
5,97.43,FULL-SHORT,HOLD
6,97.43,FULL-SHORT,HOLD
7,97.43,FULL-SHORT,HOLD
8,95.599998,FULL-SHORT,HOLD
9,95.599998,FULL-SHORT,HOLD
10,95.599998,FULL-SHORT,HOLD
11,97.050003,FULL-SHORT,HOLD
12,97.050003,FULL-LONG,BUY
13,97.050003,HALF-LONG,SELL
14,98.459999,HALF-SHORT,SELL
15,98.459999,HALF-LONG,BUY
16,98.459999,HALF-LONG,HOLD
17,97.459999,HALF-SHORT,SELL
18,97.459999,HALF-LONG,BUY
19,97.459999,HALF-SHORT,SELL
20,96.050003,FLAT,BUY
21,96.050003,HALF-SHORT,SELL
22,96.050003,HALF-SHORT,HOLD
23,95.190002,HALF-SHORT,HOLD
24,95.190002,FLAT,BUY
25,95.190002,HALF-LONG,BUY
26,100.989998,HALF-LONG,HOLD
27,100.989998,HALF-LONG,HOLD
28,100.989998,FULL-LONG,BUY
29,100.989998,FULL-LONG,HOLD
30,100.989998,FULL-LONG,HOLD
31,100.989998,FULL-LONG,HOLD
32,100.440002,FULL-LONG,HOLD
33,100.440002,FULL-LONG,HOLD
34,100.440002,FULL-LONG,HOLD
35,99.480003,FULL-LONG,HOLD
36,99.480003,FULL-LONG,HOLD
37,99.480003,FULL-LONG,HOLD
38,96.980003,FULL-LONG,HOLD
39,96.980003,FULL-SHORT,SELL
40,96.980003,FULL-SHORT,HOLD
41,89.120003,FULL-LONG,BUY
42,89.120003,FULL-LONG,HOLD
43,89.120003,FULL-LONG,HOLD
44,88.080002,FULL-LONG,HOLD
45,88.080002,FULL-LONG,HOLD
46,88.080002,FULL-SHORT,SELL
47,91.519997,FULL-SHORT,HOLD
48,91.519997,FULL-LONG,BUY
49,91.519997,HALF-LONG,SELL
50,91.129997,FULL-LONG,BUY
51,91.129997,FULL-LONG,HOLD
52,91.129997,FULL-LONG,HOLD
53,92.120003,FULL-LONG,HOLD
54,92.120003,FULL-LONG,HOLD
55,92.120003,FULL-LONG,HOLD
56,91.290001,FULL-LONG,HOLD
57,91.290001,FULL-LONG,HOLD
58,91.290001,HALF-SHORT,SELL
59,91.120003,FULL-SHORT,SELL
60,91.120003,FULL-SHORT,HOLD
