,close_price,position,action
0,95.599998,FLAT,FLAT
1,97.050003,FLAT,HOLD
2,97.050003,FLAT,HOLD
3,97.050003,FLAT,HOLD
4,98.459999,FLAT,HOLD
5,98.459999,FLAT,HOLD
6,98.459999,FLAT,HOLD
7,97.459999,FLAT,HOLD
8,97.459999,LONG,BUY
9,97.459999,LONG,HOLD
10,96.050003,LONG,HOLD
11,96.050003,LONG,HOLD
12,96.050003,FLAT,SELL
13,95.190002,LONG,BUY
14,95.190002,LONG,HOLD
15,95.190002,LONG,HOLD
16,100.989998,FLAT,SELL
17,100.989998,FLAT,HOLD
18,100.989998,FLAT,HOLD
19,100.989998,FLAT,HOLD
20,100.989998,FLAT,HOLD
21,100.989998,FLAT,HOLD
22,100.440002,FLAT,HOLD
23,100.440002,FLAT,HOLD
24,100.440002,FLAT,HOLD
25,99.480003,FLAT,HOLD
26,99.480003,FLAT,HOLD
27,99.480003,FLAT,HOLD
28,96.980003,LONG,BUY
29,96.980003,LONG,HOLD
30,96.980003,LONG,HOLD
31,89.120003,LONG,HOLD
32,89.120003,LONG,HOLD
33,89.120003,FLAT,SELL
34,88.080002,FLAT,HOLD
35,88.080002,FLAT,HOLD
36,88.080002,FLAT,HOLD
37,91.519997,FLAT,HOLD
38,91.519997,FLAT,HOLD
39,91.519997,FLAT,HOLD
40,91.129997,LONG,BUY
41,91.129997,LONG,HOLD
42,91.129997,LONG,HOLD
43,92.120003,LONG,HOLD
44,92.120003,FLAT,SELL
45,92.120003,FLAT,HOLD
46,91.290001,FLAT,HOLD
47,91.290001,FLAT,HOLD
48,91.290001,FLAT,HOLD
49,91.120003,FLAT,HOLD
50,91.120003,FLAT,HOLD
51,91.120003,FLAT,HOLD
52,93.050003,LONG,BUY
53,93.050003,FLAT,SELL
54,93.050003,FLAT,HOLD
55,98.019997,FLAT,HOLD
56,98.019997,FLAT,HOLD
57,98.019997,FLAT,HOLD
58,99.790001,FLAT,HOLD
59,99.790001,FLAT,HOLD
60,99.790001,FLAT,HOLD
61,97.699997,FLAT,HOLD
62,97.699997,FLAT,HOLD
63,97.699997,FLAT,HOLD
64,95.220001,FLAT,HOLD
65,95.220001,FLAT,HOLD
66,95.220001,LONG,BUY
67,97.519997,LONG,HOLD
68,97.519997,LONG,HOLD
69,97.519997,LONG,HOLD
70,99.370003,LONG,HOLD
71,99.370003,LONG,HOLD
72,99.370003,LONG,HOLD
73,96.940002,LONG,HOLD
74,96.940002,LONG,HOLD
75,96.940002,LONG,HOLD
76,98.839996,LONG,HOLD
77,98.839996,LONG,HOLD
78,98.839996,LONG,HOLD
79,100.43,LONG,HOLD
80,100.43,LONG,HOLD
81,100.43,LONG,HOLD
82,107.739998,LONG,HOLD
83,107.739998,LONG,HOLD
84,107.739998,LONG,HOLD
85,104.779999,LONG,HOLD
86,104.779999,LONG,HOLD
87,104.779999,LONG,HOLD
88,102.900002,LONG,HOLD
89,102.900002,LONG,HOLD
90,102.900002,LONG,HOLD
91,107.639999,FLAT,SELL
92,107.639999,FLAT,HOLD
93,107.639999,FLAT,HOLD
94,95.129997,FLAT,HOLD
95,95.129997,FLAT,HOLD
96,95.129997,FLAT,HOLD
