,close_price,position,action
0,177.509995,FULL-LONG,FULL-LONG
1,179.520004,FULL-LONG,HOLD
2,179.520004,FULL-LONG,HOLD
3,179.520004,FULL-LONG,HOLD
4,178.139999,FULL-LONG,HOLD
5,178.139999,FULL-SHORT,SELL
6,178.139999,HALF-LONG,BUY
7,178.300003,HALF-LONG,HOLD
8,178.300003,HALF-LONG,HOLD
9,178.300003,FULL-SHORT,SELL
10,178.5,FULL-SHORT,HOLD
11,178.5,FULL-SHORT,HOLD
12,178.5,FULL-SHORT,HOLD
13,178.279999,FULL-SHORT,HOLD
14,178.279999,FULL-SHORT,HOLD
15,178.279999,FULL-SHORT,HOLD
16,178.350006,FULL-SHORT,HOLD
17,178.350006,FULL-SHORT,HOLD
18,178.350006,FULL-SHORT,HOLD
19,174.199997,FULL-SHORT,HOLD
20,174.199997,FULL-SHORT,HOLD
21,174.199997,FULL-SHORT,HOLD
22,174.520004,FULL-SHORT,HOLD
23,174.520004,FULL-SHORT,HOLD
24,174.520004,FULL-SHORT,HOLD
25,173.910004,FULL-SHORT,HOLD
26,173.910004,FULL-SHORT,HOLD
27,173.910004,FULL-SHORT,HOLD
28,172.919998,FULL-SHORT,HOLD
29,172.919998,FULL-SHORT,HOLD
30,172.919998,FULL-SHORT,HOLD
31,174.589996,FULL-SHORT,HOLD
32,174.589996,HALF-LONG,BUY
33,174.589996,HALF-LONG,HOLD
34,171.789993,HALF-LONG,HOLD
35,171.789993,HALF-LONG,HOLD
36,171.789993,HALF-SHORT,SELL
37,165.339996,HALF-LONG,BUY
38,165.339996,HALF-LONG,HOLD
39,165.339996,HALF-LONG,HOLD
40,162.740005,HALF-LONG,HOLD
41,162.740005,HALF-LONG,HOLD
42,162.740005,HALF-LONG,HOLD
43,163.179993,HALF-LONG,HOLD
44,163.179993,HALF-LONG,HOLD
45,163.179993,HALF-LONG,HOLD
46,164.070007,HALF-LONG,HOLD
47,164.070007,HALF-LONG,HOLD
48,164.070007,HALF-LONG,HOLD
49,165.389999,HALF-LONG,HOLD
50,165.389999,HALF-LONG,HOLD
51,165.389999,HALF-LONG,HOLD
52,165.710007,HALF-LONG,HOLD
53,165.710007,HALF-LONG,HOLD
54,165.710007,HALF-LONG,HOLD
55,165.639999,HALF-LONG,HOLD
56,165.639999,HALF-LONG,HOLD
57,165.639999,HALF-LONG,HOLD
58,167.600006,HALF-LONG,HOLD
59,167.600006,HALF-LONG,HOLD
60,167.600006,HALF-LONG,HOLD
61,166.279999,FULL-LONG,BUY
62,166.279999,FULL-LONG,HOLD
63,166.279999,FULL-LONG,HOLD
64,164.970001,FULL-LONG,HOLD
65,164.970001,FULL-LONG,HOLD
66,164.970001,FULL-LONG,HOLD
67,163.279999,FLAT,SELL
68,163.279999,FULL-LONG,BUY
69,163.279999,FULL-SHORT,SELL
70,166.179993,FULL-LONG,BUY
71,166.179993,FULL-SHORT,SELL
72,166.179993,FULL-LONG,BUY
73,166.720001,FULL-LONG,HOLD
74,166.720001,FULL-LONG,HOLD
75,166.720001,FULL-LONG,HOLD
76,165.699997,FULL-LONG,HOLD
77,165.699997,FULL-LONG,HOLD
78,165.699997,FULL-LONG,HOLD
79,164.940002,FULL-LONG,HOLD
80,164.940002,FULL-LONG,HOLD
81,164.940002,FULL-LONG,HOLD
82,166.360001,FULL-LONG,HOLD
83,166.360001,FULL-SHORT,SELL
84,166.360001,FULL-LONG,BUY
85,164.529999,FULL-SHORT,SELL
86,164.529999,FULL-LONG,BUY
87,164.529999,FULL-SHORT,SELL
88,163.360001,FULL-LONG,BUY
89,163.360001,FULL-LONG,HOLD
90,163.360001,FULL-LONG,HOLD
91,165.149994,FULL-LONG,HOLD
92,165.149994,FULL-LONG,HOLD
93,165.149994,FULL-LONG,HOLD
94,164.460007,FULL-LONG,HOLD
95,164.460007,FULL-LONG,HOLD
96,164.460007,FULL-LONG,HOLD
97,166.589996,HALF-LONG,SELL
98,166.589996,HALF-LONG,HOLD
99,166.589996,HALF-LONG,HOLD
100,166.009995,HALF-LONG,HOLD
101,166.009995,HALF-LONG,HOLD
102,166.009995,FULL-LONG,BUY
103,164.690002,FULL-LONG,HOLD
104,164.690002,FLAT,SELL
105,164.690002,HALF-LONG,BUY
106,165.110001,HALF-LONG,HOLD
107,165.110001,FLAT,SELL
