,close_price,position,action
0,19.264999,HALF-SHORT,HALF-SHORT
1,19.264999,HALF-SHORT,HOLD
2,19.264999,HALF-SHORT,HOLD
3,19.323,HALF-SHORT,HOLD
4,19.323,HALF-SHORT,HOLD
5,19.323,HALF-LONG,BUY
6,19.802,HALF-LONG,HOLD
7,19.802,HALF-LONG,HOLD
8,19.802,FULL-SHORT,SELL
9,20.365,FULL-SHORT,HOLD
10,20.365,FULL-SHORT,HOLD
11,20.365,HALF-LONG,BUY
12,19.162001,FLAT,SELL
13,19.162001,FLAT,HOLD
14,19.162001,FLAT,HOLD
15,19.537001,HALF-LONG,BUY
16,19.537001,FULL-LONG,BUY
17,19.537001,FULL-LONG,HOLD
18,20.943001,FULL-LONG,HOLD
19,20.943001,FULL-LONG,HOLD
20,20.943001,FULL-LONG,HOLD
21,21.709,FULL-LONG,HOLD
22,21.709,FULL-LONG,HOLD
23,21.709,FLAT,SELL
24,21.1,FLAT,HOLD
25,21.1,HALF-LONG,BUY
26,21.1,HALF-LONG,HOLD
27,21.089001,FULL-LONG,BUY
28,21.089001,HALF-LONG,SELL
29,21.089001,FULL-LONG,BUY
30,22.173,HALF-LONG,SELL
31,22.173,HALF-LONG,HOLD
32,22.173,HALF-LONG,HOLD
33,22.205,FULL-LONG,BUY
34,22.205,FULL-LONG,HOLD
35,22.205,HALF-LONG,SELL
36,22.337,HALF-LONG,HOLD
37,22.337,HALF-LONG,HOLD
38,22.337,HALF-LONG,HOLD
39,22.971001,HALF-LONG,HOLD
40,22.971001,HALF-LONG,HOLD
41,22.971001,HALF-LONG,HOLD
42,22.764,FULL-LONG,BUY
43,22.764,HALF-LONG,SELL
44,22.764,FULL-LONG,BUY
45,22.002001,FULL-LONG,HOLD
46,22.002001,FULL-LONG,HOLD
47,22.002001,FULL-LONG,HOLD
48,21.388,FULL-LONG,HOLD
49,21.388,FULL-LONG,HOLD
50,21.388,FULL-LONG,HOLD
51,23.664,FULL-LONG,HOLD
52,23.664,HALF-LONG,SELL
53,23.664,HALF-LONG,HOLD
54,23.285999,HALF-LONG,HOLD
55,23.285999,HALF-LONG,HOLD
56,23.285999,HALF-LONG,HOLD
57,23.500999,HALF-LONG,HOLD
58,23.500999,HALF-LONG,HOLD
59,23.500999,HALF-LONG,HOLD
60,23.216,HALF-LONG,HOLD
61,23.216,HALF-LONG,HOLD
62,23.216,HALF-LONG,HOLD
63,22.698,HALF-LONG,HOLD
64,22.698,HALF-LONG,HOLD
65,22.698,HALF-LONG,HOLD
66,23.313999,HALF-LONG,HOLD
67,23.313999,HALF-LONG,HOLD
68,23.313999,HALF-LONG,HOLD
69,23.889999,HALF-LONG,HOLD
70,23.889999,HALF-LONG,HOLD
71,23.889999,HALF-LONG,HOLD
72,23.554001,FULL-LONG,BUY
73,23.554001,FULL-LONG,HOLD
74,23.554001,FULL-LONG,HOLD
75,23.288,FLAT,SELL
76,23.288,HALF-SHORT,SELL
77,23.288,FULL-SHORT,SELL
78,24.181,FULL-SHORT,HOLD
79,24.181,FULL-SHORT,HOLD
80,24.181,FULL-SHORT,HOLD
81,23.436001,FULL-SHORT,HOLD
82,23.436001,FULL-SHORT,HOLD
83,23.436001,FULL-SHORT,HOLD
84,22.965,FULL-SHORT,HOLD
85,22.965,FULL-SHORT,HOLD
86,22.965,FULL-SHORT,HOLD
87,22.966,FULL-SHORT,HOLD
88,22.966,FULL-SHORT,HOLD
89,22.966,HALF-LONG,BUY
90,24.063,HALF-LONG,HOLD
91,24.063,HALF-LONG,HOLD
92,24.063,HALF-LONG,HOLD
93,24.228001,HALF-LONG,HOLD
94,24.228001,HALF-LONG,HOLD
95,24.228001,HALF-LONG,HOLD
96,25.541,HALF-LONG,HOLD
97,25.541,HALF-LONG,HOLD
98,25.541,HALF-LONG,HOLD
