,close_price,position,action
0,20.365,LONG,LONG
1,20.365,LONG,HOLD
2,19.162001,LONG,HOLD
3,19.162001,LONG,HOLD
4,19.162001,FLAT,SELL
5,19.537001,FLAT,HOLD
6,19.537001,LONG,BUY
7,19.537001,LONG,HOLD
8,20.943001,LONG,HOLD
9,20.943001,LONG,HOLD
10,20.943001,LONG,HOLD
11,21.709,FLAT,SELL
12,21.709,LONG,BUY
13,21.709,LONG,HOLD
14,21.1,FLAT,SELL
15,21.1,LONG,BUY
16,21.1,LONG,HOLD
17,21.089001,LONG,HOLD
18,21.089001,LONG,HOLD
19,21.089001,LONG,HOLD
20,22.173,FLAT,SELL
21,22.173,FLAT,HOLD
22,22.173,FLAT,HOLD
23,22.205,LONG,BUY
24,22.205,LONG,HOLD
25,22.205,LONG,HOLD
26,22.337,FLAT,SELL
27,22.337,LONG,BUY
28,22.337,LONG,HOLD
29,22.971001,FLAT,SELL
30,22.971001,FLAT,HOLD
31,22.971001,LONG,BUY
32,22.764,LONG,HOLD
33,22.764,LONG,HOLD
34,22.764,LONG,HOLD
35,22.002001,LONG,HOLD
36,22.002001,LONG,HOLD
37,22.002001,LONG,HOLD
38,21.388,FLAT,SELL
39,21.388,FLAT,HOLD
40,21.388,FLAT,HOLD
41,23.664,FLAT,HOLD
42,23.664,FLAT,HOLD
43,23.664,FLAT,HOLD
44,23.285999,FLAT,HOLD
45,23.285999,FLAT,HOLD
46,23.285999,FLAT,HOLD
47,23.500999,FLAT,HOLD
48,23.500999,FLAT,HOLD
49,23.500999,LONG,BUY
50,23.216,FLAT,SELL
51,23.216,FLAT,HOLD
52,23.216,LONG,BUY
53,22.698,FLAT,SELL
54,22.698,FLAT,HOLD
55,22.698,FLAT,HOLD
56,23.313999,FLAT,HOLD
57,23.313999,FLAT,HOLD
58,23.313999,FLAT,HOLD
59,23.889999,FLAT,HOLD
60,23.889999,LONG,BUY
61,23.889999,LONG,HOLD
62,23.554001,FLAT,SELL
63,23.554001,FLAT,HOLD
64,23.554001,LONG,BUY
65,23.288,LONG,HOLD
66,23.288,LONG,HOLD
67,23.288,LONG,HOLD
68,24.181,FLAT,SELL
69,24.181,LONG,BUY
70,24.181,LONG,HOLD
71,23.436001,FLAT,SELL
72,23.436001,FLAT,HOLD
73,23.436001,LONG,BUY
74,22.965,FLAT,SELL
75,22.965,FLAT,HOLD
76,22.965,FLAT,HOLD
77,22.966,FLAT,HOLD
78,22.966,FLAT,HOLD
79,22.966,FLAT,HOLD
80,24.063,LONG,BUY
81,24.063,LONG,HOLD
82,24.063,LONG,HOLD
83,24.228001,LONG,HOLD
84,24.228001,LONG,HOLD
85,24.228001,LONG,HOLD
86,25.541,FLAT,SELL
87,25.541,LONG,BUY
88,25.541,LONG,HOLD
89,25.725,FLAT,SELL
90,25.725,FLAT,HOLD
91,25.725,FLAT,HOLD
92,25.9,LONG,BUY
93,25.9,LONG,HOLD
94,25.9,LONG,HOLD
95,26.198999,FLAT,SELL
96,26.198999,FLAT,HOLD
97,26.198999,LONG,BUY
98,26.468,FLAT,SELL
99,26.468,FLAT,HOLD
100,26.468,LONG,BUY
101,27.191,FLAT,SELL
102,27.191,FLAT,HOLD
103,27.191,FLAT,HOLD
104,26.778999,FLAT,HOLD
105,26.778999,LONG,BUY
106,26.778999,LONG,HOLD
107,26.531,FLAT,SELL
108,26.531,LONG,BUY
109,26.531,LONG,HOLD
110,26.41,FLAT,SELL
111,26.41,FLAT,HOLD
112,26.41,FLAT,HOLD
113,26.983999,FLAT,HOLD
114,26.983999,FLAT,HOLD
115,26.983999,FLAT,HOLD
