,close_price,position,action
0,365.410004,FULL-SHORT,FULL-SHORT
1,365.410004,FULL-SHORT,HOLD
2,365.410004,FULL-SHORT,HOLD
3,374.290009,FULL-SHORT,HOLD
4,374.290009,FULL-SHORT,HOLD
5,374.290009,FULL-SHORT,HOLD
6,378.869995,FULL-SHORT,HOLD
7,378.869995,FULL-SHORT,HOLD
8,378.869995,FULL-SHORT,HOLD
9,384.920013,FULL-SHORT,HOLD
10,384.920013,FULL-LONG,BUY
11,384.920013,FULL-LONG,HOLD
12,382.019989,FULL-LONG,HOLD
13,382.019989,FULL-LONG,HOLD
14,382.019989,FULL-LONG,HOLD
15,379.980011,FULL-LONG,HOLD
16,379.980011,FULL-LONG,HOLD
17,379.980011,FULL-LONG,HOLD
18,389.019989,FULL-LONG,HOLD
19,389.019989,FULL-LONG,HOLD
20,389.019989,FLAT,SELL
21,386.209991,FULL-SHORT,SELL
22,386.209991,FULL-SHORT,HOLD
23,386.209991,FULL-SHORT,HOLD
24,384.519989,FULL-SHORT,HOLD
25,384.519989,FULL-LONG,BUY
26,384.519989,FULL-LONG,HOLD
27,374.869995,FULL-LONG,HOLD
28,374.869995,FULL-SHORT,SELL
29,374.869995,FULL-SHORT,HOLD
30,394.690002,FULL-SHORT,HOLD
31,394.690002,FULL-SHORT,HOLD
32,394.690002,FULL-SHORT,HOLD
33,398.51001,FULL-SHORT,HOLD
34,398.51001,FULL-LONG,BUY
35,398.51001,FULL-LONG,HOLD
36,395.119995,FULL-LONG,HOLD
37,395.119995,FULL-LONG,HOLD
38,395.119995,FULL-LONG,HOLD
39,398.48999,FULL-LONG,HOLD
40,398.48999,FULL-LONG,HOLD
41,398.48999,FULL-LONG,HOLD
42,395.450012,FULL-SHORT,SELL
43,395.450012,FULL-SHORT,HOLD
44,395.450012,FULL-SHORT,HOLD
45,394.23999,FULL-SHORT,HOLD
46,394.23999,FULL-SHORT,HOLD
47,394.23999,FULL-SHORT,HOLD
48,396.029999,FULL-SHORT,HOLD
49,396.029999,FULL-SHORT,HOLD
50,396.029999,FULL-SHORT,HOLD
51,394.589996,FULL-SHORT,HOLD
52,394.589996,FULL-SHORT,HOLD
53,394.589996,FULL-SHORT,HOLD
54,399.899994,FULL-LONG,BUY
55,399.899994,FULL-LONG,HOLD
56,399.899994,FULL-LONG,HOLD
57,402.420013,FULL-LONG,HOLD
58,402.420013,FULL-LONG,HOLD
59,402.420013,FULL-LONG,HOLD
60,402.329987,FULL-LONG,HOLD
61,402.329987,FULL-LONG,HOLD
62,402.329987,FULL-LONG,HOLD
63,395.910004,FULL-LONG,HOLD
64,395.910004,FULL-LONG,HOLD
65,395.910004,FULL-SHORT,SELL
66,395.230011,FULL-SHORT,HOLD
67,395.230011,FULL-SHORT,HOLD
68,395.230011,FULL-SHORT,HOLD
69,407.679993,FULL-SHORT,HOLD
70,407.679993,FULL-SHORT,HOLD
71,407.679993,FULL-LONG,BUY
72,407.380005,FULL-LONG,HOLD
73,407.380005,FULL-LONG,HOLD
74,407.380005,FULL-LONG,HOLD
75,406.910004,FULL-LONG,HOLD
76,406.910004,FULL-LONG,HOLD
77,406.910004,FULL-LONG,HOLD
