,close_price,position,action
0,365.410004,LONG,LONG
1,365.410004,FLAT,SELL
2,365.410004,LONG,BUY
3,374.290009,FLAT,SELL
4,374.290009,LONG,BUY
5,374.290009,FLAT,SELL
6,378.869995,LONG,BUY
7,378.869995,FLAT,SELL
8,378.869995,LONG,BUY
9,384.920013,FLAT,SELL
10,384.920013,LONG,BUY
11,384.920013,FLAT,SELL
12,382.019989,LONG,BUY
13,382.019989,FLAT,SELL
14,382.019989,LONG,BUY
15,379.980011,FLAT,SELL
16,379.980011,LONG,BUY
17,379.980011,FLAT,SELL
18,389.019989,LONG,BUY
19,389.019989,FLAT,SELL
20,389.019989,LONG,BUY
21,386.209991,FLAT,SELL
22,386.209991,LONG,BUY
23,386.209991,FLAT,SELL
24,384.519989,LONG,BUY
25,384.519989,FLAT,SELL
26,384.519989,LONG,BUY
27,374.869995,FLAT,SELL
28,374.869995,LONG,BUY
29,374.869995,FLAT,SELL
30,394.690002,LONG,BUY
31,394.690002,FLAT,SELL
32,394.690002,LONG,BUY
33,398.51001,FLAT,SELL
34,398.51001,LONG,BUY
35,398.51001,FLAT,SELL
36,395.119995,LONG,BUY
37,395.119995,FLAT,SELL
38,395.119995,LONG,BUY
39,398.48999,FLAT,SELL
40,398.48999,LONG,BUY
41,398.48999,FLAT,SELL
42,395.450012,LONG,BUY
43,395.450012,FLAT,SELL
44,395.450012,LONG,BUY
45,394.23999,FLAT,SELL
46,394.23999,LONG,BUY
47,394.23999,FLAT,SELL
48,396.029999,LONG,BUY
49,396.029999,FLAT,SELL
50,396.029999,LONG,BUY
51,394.589996,FLAT,SELL
52,394.589996,LONG,BUY
53,394.589996,FLAT,SELL
54,399.899994,LONG,BUY
55,399.899994,FLAT,SELL
56,399.899994,LONG,BUY
57,402.420013,FLAT,SELL
58,402.420013,LONG,BUY
59,402.420013,FLAT,SELL
60,402.329987,LONG,BUY
61,402.329987,FLAT,SELL
62,402.329987,LONG,BUY
63,395.910004,FLAT,SELL
64,395.910004,LONG,BUY
65,395.910004,FLAT,SELL
66,395.230011,LONG,BUY
67,395.230011,FLAT,SELL
68,395.230011,LONG,BUY
69,407.679993,FLAT,SELL
70,407.679993,LONG,BUY
71,407.679993,FLAT,SELL
72,407.380005,LONG,BUY
73,407.380005,FLAT,SELL
74,407.380005,LONG,BUY
75,406.910004,FLAT,SELL
76,406.910004,LONG,BUY
77,406.910004,FLAT,SELL
78,399.589996,LONG,BUY
79,399.589996,FLAT,SELL
80,399.589996,LONG,BUY
81,401.970001,FLAT,SELL
82,401.970001,LONG,BUY
83,401.970001,FLAT,SELL
84,399.399994,LONG,BUY
85,399.399994,FLAT,SELL
86,399.399994,LONG,BUY
87,388.079987,FLAT,SELL
88,388.079987,LONG,BUY
89,388.079987,FLAT,SELL
90,387.859985,LONG,BUY
91,387.859985,FLAT,SELL
92,387.859985,LONG,BUY
93,390.579987,FLAT,SELL
94,390.579987,LONG,BUY
95,390.579987,FLAT,SELL
96,395.519989,LONG,BUY
97,395.519989,FLAT,SELL
98,395.519989,LONG,BUY
99,396.959991,FLAT,SELL
100,396.959991,LONG,BUY
101,396.959991,FLAT,SELL
102,398.5,LONG,BUY
103,398.5,FLAT,SELL
104,398.5,LONG,BUY
105,397.769989,FLAT,SELL
106,397.769989,LONG,BUY
107,397.769989,FLAT,SELL
108,391.48999,LONG,BUY
109,391.48999,FLAT,SELL
110,391.48999,LONG,BUY
111,388.640015,FLAT,SELL
112,388.640015,LONG,BUY
113,388.640015,FLAT,SELL
114,395.880005,LONG,BUY
115,395.880005,FLAT,SELL
116,395.880005,LONG,BUY
117,400.630005,FLAT,SELL
118,400.630005,LONG,BUY
119,400.630005,FLAT,SELL
120,400.200012,LONG,BUY
121,400.200012,FLAT,SELL
122,400.200012,LONG,BUY
123,400.350006,FLAT,SELL
124,400.350006,LONG,BUY
125,400.350006,FLAT,SELL
126,404.75,LONG,BUY
127,404.75,FLAT,SELL
128,404.75,LONG,BUY
129,405.679993,FLAT,SELL
130,405.679993,LONG,BUY
131,405.679993,FLAT,SELL
132,400.589996,LONG,BUY
133,400.589996,FLAT,SELL
134,400.589996,LONG,BUY
135,406.480011,FLAT,SELL
136,406.480011,LONG,BUY
137,406.480011,FLAT,SELL
138,410.799988,LONG,BUY
139,410.799988,FLAT,SELL
140,410.799988,LONG,BUY
141,416.779999,FLAT,SELL
142,416.779999,LONG,BUY
143,416.779999,FLAT,SELL
144,412.350006,LONG,BUY
145,412.350006,FLAT,SELL
146,412.350006,LONG,BUY
147,409.829987,FLAT,SELL
148,409.829987,LONG,BUY
149,409.829987,FLAT,SELL
150,404.190002,LONG,BUY
151,404.190002,FLAT,SELL
152,404.190002,LONG,BUY
153,404.470001,FLAT,SELL
154,404.470001,LONG,BUY
155,404.470001,FLAT,SELL
156,398.269989,LONG,BUY
157,398.269989,FLAT,SELL
158,398.269989,LONG,BUY
159,398.920013,FLAT,SELL
160,398.920013,LONG,BUY
161,398.920013,FLAT,SELL
162,398.910004,LONG,BUY
163,398.910004,FLAT,SELL
164,398.910004,LONG,BUY
165,392.109985,FLAT,SELL
166,392.109985,LONG,BUY
167,392.109985,FLAT,SELL
168,393.170013,LONG,BUY
169,393.170013,FLAT,SELL
170,393.170013,LONG,BUY
171,395.75,FLAT,SELL
172,395.75,LONG,BUY
173,395.75,FLAT,SELL
174,396.48999,LONG,BUY
175,396.48999,FLAT,SELL
176,396.48999,LONG,BUY
177,395.600006,FLAT,SELL
