,close_price,position,action
3326,393.100006,HALF-SHORT,HALF-SHORT
3327,377.970001,FULL-LONG,BUY
3328,377.970001,FULL-LONG,HOLD
3329,377.970001,FULL-LONG,HOLD
3330,377.089996,FULL-LONG,HOLD
3331,377.089996,FULL-LONG,HOLD
3332,377.089996,FULL-LONG,HOLD
3333,373.200012,FULL-SHORT,SELL
3334,373.200012,FLAT,BUY
3335,373.200012,FULL-LONG,BUY
3336,362.790009,HALF-LONG,SELL
3337,362.790009,FULL-LONG,BUY
3338,362.790009,HALF-LONG,SELL
3339,371.130005,HALF-LONG,HOLD
3340,371.130005,HALF-LONG,HOLD
3341,371.130005,HALF-LONG,HOLD
3342,368.5,HALF-LONG,HOLD
3343,368.5,HALF-LONG,HOLD
3344,368.5,HALF-LONG,HOLD
3345,365.410004,HALF-LONG,HOLD
3346,365.410004,HALF-LONG,HOLD
3347,365.410004,HALF-LONG,HOLD
3348,374.290009,FULL-SHORT,SELL
3349,374.290009,FULL-LONG,BUY
3350,374.290009,FULL-LONG,HOLD
3351,378.869995,FULL-SHORT,SELL
3352,378.869995,FULL-LONG,BUY
3353,378.869995,FULL-SHORT,SELL
3354,384.920013,FULL-LONG,BUY
3355,384.920013,FULL-SHORT,SELL
3356,384.920013,FULL-LONG,BUY
3357,382.019989,FULL-SHORT,SELL
3358,382.019989,FULL-SHORT,HOLD
3359,382.019989,FULL-SHORT,HOLD
3360,379.980011,FULL-SHORT,HOLD
3361,379.980011,FULL-SHORT,HOLD
3362,379.980011,FULL-SHORT,HOLD
3363,389.019989,FULL-LONG,BUY
3364,389.019989,FULL-SHORT,SELL
3365,389.019989,FULL-LONG,BUY
3366,386.209991,FULL-SHORT,SELL
3367,386.209991,FULL-SHORT,HOLD
3368,386.209991,FULL-SHORT,HOLD
3369,384.519989,FULL-SHORT,HOLD
3370,384.519989,FULL-SHORT,HOLD
3371,384.519989,FULL-SHORT,HOLD
3372,374.869995,FLAT,BUY
3373,374.869995,FULL-LONG,BUY
3374,374.869995,FULL-LONG,HOLD
3375,394.690002,FLAT,SELL
3376,394.690002,FLAT,HOLD
3377,394.690002,FLAT,HOLD
3378,398.51001,HALF-LONG,BUY
3379,398.51001,HALF-SHORT,SELL
3380,398.51001,FULL-SHORT,SELL
3381,395.119995,FULL-SHORT,HOLD
3382,395.119995,FULL-SHORT,HOLD
3383,395.119995,FULL-SHORT,HOLD
3384,398.48999,FULL-SHORT,HOLD
3385,398.48999,FULL-SHORT,HOLD
3386,398.48999,FULL-SHORT,HOLD
3387,395.450012,FULL-SHORT,HOLD
3388,395.450012,FULL-SHORT,HOLD
3389,395.450012,FULL-SHORT,HOLD
3390,394.23999,FULL-LONG,BUY
3391,394.23999,FULL-LONG,HOLD
3392,394.23999,FULL-LONG,HOLD
3393,396.029999,FULL-LONG,HOLD
3394,396.029999,FULL-LONG,HOLD
3395,396.029999,FULL-LONG,HOLD
3396,394.589996,FULL-LONG,HOLD
3397,394.589996,FULL-LONG,HOLD
3398,394.589996,FULL-LONG,HOLD
3399,399.899994,FULL-LONG,HOLD
3400,399.899994,FULL-LONG,HOLD
3401,399.899994,FULL-LONG,HOLD
3402,402.420013,FLAT,SELL
3403,402.420013,FULL-LONG,BUY
3404,402.420013,FLAT,SELL
3405,402.329987,HALF-LONG,BUY
3406,402.329987,HALF-LONG,HOLD
3407,402.329987,HALF-LONG,HOLD
3408,395.910004,FULL-LONG,BUY
3409,395.910004,FULL-LONG,HOLD
3410,395.910004,FULL-LONG,HOLD
3411,395.230011,FULL-LONG,HOLD
3412,395.230011,FULL-LONG,HOLD
3413,395.230011,FULL-LONG,HOLD
3414,407.679993,HALF-SHORT,SELL
3415,407.679993,FULL-SHORT,SELL
3416,407.679993,FULL-SHORT,HOLD
3417,407.380005,FULL-SHORT,HOLD
3418,407.380005,FULL-SHORT,HOLD
3419,407.380005,FULL-SHORT,HOLD
3420,406.910004,HALF-SHORT,BUY
3421,406.910004,HALF-SHORT,HOLD
3422,406.910004,HALF-SHORT,HOLD
3423,399.589996,FULL-SHORT,SELL
3424,399.589996,FULL-SHORT,HOLD
3425,399.589996,FULL-SHORT,HOLD
3426,401.970001,FULL-SHORT,HOLD
3427,401.970001,FULL-SHORT,HOLD
3428,401.970001,FULL-SHORT,HOLD
3429,399.399994,FULL-SHORT,HOLD
3430,399.399994,FULL-SHORT,HOLD
3431,399.399994,FULL-SHORT,HOLD
3432,388.079987,FULL-SHORT,HOLD
