,close_price,position,action
2958,518.630005,FLAT,HOLD
2959,518.630005,FLAT,HOLD
2960,518.630005,FLAT,HOLD
2961,516.950012,FLAT,HOLD
2962,516.950012,FLAT,HOLD
2963,516.950012,FLAT,HOLD
2964,514.419983,FLAT,HOLD
2965,514.419983,FLAT,HOLD
2966,514.419983,FLAT,HOLD
2967,529.75,LONG,BUY
2968,529.75,FLAT,SELL
2969,529.75,LONG,BUY
2970,519.369995,FLAT,SELL
2971,519.369995,LONG,BUY
2972,519.369995,FLAT,SELL
2973,533.450012,FLAT,HOLD
2974,533.450012,FLAT,HOLD
2975,533.450012,FLAT,HOLD
2976,519.469971,LONG,BUY
2977,519.469971,FLAT,SELL
2978,519.469971,LONG,BUY
2979,522.460022,LONG,HOLD
2980,522.460022,LONG,HOLD
2981,522.460022,LONG,HOLD
2982,521.409973,FLAT,SELL
2983,521.409973,LONG,BUY
2984,521.409973,FLAT,SELL
2985,529.469971,LONG,BUY
2986,529.469971,FLAT,SELL
2987,529.469971,LONG,BUY
2988,531.590027,FLAT,SELL
2989,531.590027,LONG,BUY
2990,531.590027,FLAT,SELL
2991,534.609985,FLAT,HOLD
2992,534.609985,FLAT,HOLD
2993,534.609985,FLAT,HOLD
2994,541.48999,FLAT,HOLD
2995,541.48999,FLAT,HOLD
2996,541.48999,FLAT,HOLD
2997,542.340027,FLAT,HOLD
2998,542.340027,FLAT,HOLD
2999,542.340027,FLAT,HOLD
3000,535.380005,LONG,BUY
3001,535.380005,LONG,HOLD
3002,535.380005,LONG,HOLD
3003,535.460022,LONG,HOLD
3004,535.460022,LONG,HOLD
3005,535.460022,LONG,HOLD
3006,540.650024,FLAT,SELL
3007,540.650024,FLAT,HOLD
3008,540.650024,FLAT,HOLD
3009,533.75,LONG,BUY
3010,533.75,FLAT,SELL
3011,533.75,LONG,BUY
3012,537.26001,LONG,HOLD
3013,537.26001,LONG,HOLD
3014,537.26001,LONG,HOLD
3015,537.719971,LONG,HOLD
3016,537.719971,LONG,HOLD
3017,537.719971,LONG,HOLD
3018,532.859985,LONG,HOLD
3019,532.859985,LONG,HOLD
3020,532.859985,LONG,HOLD
3021,543.700012,FLAT,SELL
3022,543.700012,LONG,BUY
3023,543.700012,FLAT,SELL
3024,544.640015,LONG,BUY
3025,544.640015,LONG,HOLD
3026,544.640015,LONG,HOLD
3027,546.119995,LONG,HOLD
3028,546.119995,LONG,HOLD
3029,546.119995,LONG,HOLD
3030,545.0,LONG,HOLD
3031,545.0,LONG,HOLD
3032,545.0,LONG,HOLD
3033,545.219971,FLAT,SELL
3034,545.219971,FLAT,HOLD
3035,545.219971,FLAT,HOLD
3036,548.320007,FLAT,HOLD
3037,548.320007,FLAT,HOLD
3038,548.320007,FLAT,HOLD
3039,544.570007,FLAT,HOLD
3040,544.570007,FLAT,HOLD
3041,544.570007,FLAT,HOLD
3042,527.51001,LONG,BUY
3043,527.51001,FLAT,SELL
3044,527.51001,LONG,BUY
3045,524.340027,FLAT,SELL
3046,524.340027,LONG,BUY
3047,524.340027,FLAT,SELL
3048,531.25,FLAT,HOLD
3049,531.25,FLAT,HOLD
3050,531.25,FLAT,HOLD
3051,523.169983,LONG,BUY
3052,523.169983,FLAT,SELL
3053,523.169983,LONG,BUY
3054,527.070007,FLAT,SELL
3055,527.070007,FLAT,HOLD
3056,527.070007,FLAT,HOLD
3057,519.130005,LONG,BUY
3058,519.130005,FLAT,SELL
3059,519.130005,LONG,BUY
3060,513.130005,FLAT,SELL
3061,513.130005,FLAT,HOLD
3062,513.130005,FLAT,HOLD
3063,521.880005,FLAT,HOLD
3064,521.880005,FLAT,HOLD
3065,521.880005,FLAT,HOLD
3066,522.210022,FLAT,HOLD
3067,522.210022,FLAT,HOLD
3068,522.210022,FLAT,HOLD
3069,520.320007,FLAT,HOLD
3070,520.320007,FLAT,HOLD
3071,520.320007,FLAT,HOLD
3072,520.880005,FLAT,HOLD
3073,520.880005,FLAT,HOLD
3074,520.880005,FLAT,HOLD
3075,533.72998,FLAT,HOLD
3076,533.72998,FLAT,HOLD
3077,533.72998,FLAT,HOLD
3078,541.599976,FLAT,HOLD
3079,541.599976,FLAT,HOLD
3080,541.599976,FLAT,HOLD
3081,540.219971,FLAT,HOLD
3082,540.219971,FLAT,HOLD
3083,540.219971,FLAT,HOLD
3084,543.169983,FLAT,HOLD
3085,543.169983,FLAT,HOLD
3086,543.169983,FLAT,HOLD
3087,541.799988,FLAT,HOLD
3088,541.799988,FLAT,HOLD
3089,541.799988,FLAT,HOLD
3090,551.23999,FLAT,HOLD
