,close_price,position,action
2958,518.630005,HALF-LONG,HALF-LONG
2959,518.630005,FULL-SHORT,SELL
2960,518.630005,HALF-SHORT,BUY
2961,516.950012,FULL-SHORT,SELL
2962,516.950012,FLAT,BUY
2963,516.950012,HALF-SHORT,SELL
2964,514.419983,FULL-SHORT,SELL
2965,514.419983,HALF-SHORT,BUY
2966,514.419983,FULL-SHORT,SELL
2967,529.75,HALF-LONG,BUY
2968,529.75,FLAT,SELL
2969,529.75,FLAT,HOLD
2970,519.369995,HALF-SHORT,SELL
2971,519.369995,FULL-LONG,BUY
2972,519.369995,HALF-SHORT,SELL
2973,533.450012,HALF-LONG,BUY
2974,533.450012,FULL-SHORT,SELL
2975,533.450012,HALF-LONG,BUY
2976,519.469971,HALF-SHORT,SELL
2977,519.469971,HALF-LONG,BUY
2978,519.469971,HALF-SHORT,SELL
2979,522.460022,FULL-SHORT,SELL
2980,522.460022,HALF-SHORT,BUY
2981,522.460022,FULL-SHORT,SELL
2982,521.409973,HALF-SHORT,BUY
2983,521.409973,HALF-SHORT,HOLD
2984,521.409973,HALF-SHORT,HOLD
2985,529.469971,HALF-LONG,BUY
2986,529.469971,FLAT,SELL
2987,529.469971,HALF-SHORT,SELL
2988,531.590027,FULL-SHORT,SELL
2989,531.590027,FLAT,BUY
2990,531.590027,HALF-SHORT,SELL
2991,534.609985,FULL-SHORT,SELL
2992,534.609985,FLAT,BUY
2993,534.609985,FULL-LONG,BUY
2994,541.48999,HALF-SHORT,SELL
2995,541.48999,FULL-SHORT,SELL
2996,541.48999,FLAT,BUY
2997,542.340027,HALF-LONG,BUY
2998,542.340027,FLAT,SELL
2999,542.340027,HALF-LONG,BUY
3000,535.380005,FULL-SHORT,SELL
3001,535.380005,FULL-LONG,BUY
3002,535.380005,FULL-SHORT,SELL
3003,535.460022,HALF-SHORT,BUY
3004,535.460022,HALF-SHORT,HOLD
3005,535.460022,HALF-SHORT,HOLD
3006,540.650024,FLAT,BUY
3007,540.650024,FLAT,HOLD
3008,540.650024,FLAT,HOLD
3009,533.75,HALF-SHORT,SELL
3010,533.75,FULL-SHORT,SELL
3011,533.75,FULL-SHORT,HOLD
3012,537.26001,HALF-LONG,BUY
3013,537.26001,HALF-SHORT,SELL
3014,537.26001,HALF-SHORT,HOLD
3015,537.719971,HALF-SHORT,HOLD
3016,537.719971,HALF-SHORT,HOLD
3017,537.719971,HALF-SHORT,HOLD
3018,532.859985,HALF-SHORT,HOLD
3019,532.859985,HALF-SHORT,HOLD
3020,532.859985,HALF-SHORT,HOLD
3021,543.700012,HALF-SHORT,HOLD
3022,543.700012,HALF-SHORT,HOLD
3023,543.700012,HALF-SHORT,HOLD
3024,544.640015,HALF-SHORT,HOLD
3025,544.640015,HALF-SHORT,HOLD
3026,544.640015,HALF-SHORT,HOLD
3027,546.119995,HALF-SHORT,HOLD
3028,546.119995,HALF-SHORT,HOLD
3029,546.119995,HALF-SHORT,HOLD
3030,545.0,HALF-SHORT,HOLD
3031,545.0,HALF-SHORT,HOLD
3032,545.0,HALF-SHORT,HOLD
3033,545.219971,HALF-LONG,BUY
3034,545.219971,HALF-SHORT,SELL
3035,545.219971,HALF-LONG,BUY
3036,548.320007,FLAT,SELL
3037,548.320007,HALF-SHORT,SELL
3038,548.320007,HALF-SHORT,HOLD
3039,544.570007,HALF-SHORT,HOLD
3040,544.570007,HALF-SHORT,HOLD
3041,544.570007,HALF-SHORT,HOLD
3042,527.51001,HALF-SHORT,HOLD
3043,527.51001,HALF-SHORT,HOLD
3044,527.51001,HALF-SHORT,HOLD
3045,524.340027,HALF-SHORT,HOLD
3046,524.340027,HALF-SHORT,HOLD
3047,524.340027,HALF-SHORT,HOLD
3048,531.25,FLAT,BUY
3049,531.25,FULL-SHORT,SELL
3050,531.25,FLAT,BUY
3051,523.169983,FULL-SHORT,SELL
3052,523.169983,FLAT,BUY
3053,523.169983,FULL-SHORT,SELL
3054,527.070007,FLAT,BUY
3055,527.070007,FULL-SHORT,SELL
3056,527.070007,FLAT,BUY
3057,519.130005,HALF-SHORT,SELL
3058,519.130005,HALF-SHORT,HOLD
3059,519.130005,HALF-SHORT,HOLD
3060,513.130005,HALF-SHORT,HOLD
3061,513.130005,HALF-SHORT,HOLD
3062,513.130005,HALF-SHORT,HOLD
3063,521.880005,HALF-SHORT,HOLD
3064,521.880005,HALF-SHORT,HOLD
3065,521.880005,HALF-SHORT,HOLD
3066,522.210022,HALF-SHORT,HOLD
3067,522.210022,HALF-SHORT,HOLD
3068,522.210022,HALF-SHORT,HOLD
3069,520.320007,HALF-SHORT,HOLD
3070,520.320007,HALF-SHORT,HOLD
3071,520.320007,HALF-SHORT,HOLD
3072,520.880005,FLAT,BUY
3073,520.880005,FULL-SHORT,SELL
3074,520.880005,HALF-SHORT,BUY
3075,533.72998,FULL-SHORT,SELL
3076,533.72998,FLAT,BUY
3077,533.72998,FULL-LONG,BUY
3078,541.599976,FULL-LONG,HOLD
3079,541.599976,FULL-LONG,HOLD
3080,541.599976,FULL-LONG,HOLD
3081,540.219971,FULL-LONG,HOLD
3082,540.219971,FULL-LONG,HOLD
3083,540.219971,FULL-LONG,HOLD
3084,543.169983,FULL-LONG,HOLD
3085,543.169983,FULL-LONG,HOLD
3086,543.169983,FULL-LONG,HOLD
3087,541.799988,FULL-SHORT,SELL
3088,541.799988,FULL-SHORT,HOLD
3089,541.799988,FULL-SHORT,HOLD
3090,551.23999,FULL-SHORT,HOLD
3091,551.23999,FULL-SHORT,HOLD
3092,551.23999,FULL-SHORT,HOLD
3093,555.150024,FULL-SHORT,HOLD
3094,555.150024,FULL-SHORT,HOLD
3095,555.150024,FULL-SHORT,HOLD
3096,547.309998,FULL-SHORT,HOLD
3097,547.309998,FULL-SHORT,HOLD
3098,547.309998,FULL-SHORT,HOLD
3099,543.429993,FLAT,BUY
3100,543.429993,FULL-SHORT,SELL
3101,543.429993,FLAT,BUY
3102,543.609985,FLAT,HOLD
3103,543.609985,FLAT,HOLD
3104,543.609985,FLAT,HOLD
