trade_date,close_price,position,action
2022-10-14,138.380005,LONG,BUY
2022-10-17,142.410004,LONG,HOLD
2022-10-18,143.75,LONG,HOLD
2022-10-19,143.860001,FLAT,SELL
2022-10-20,143.389999,LONG,BUY
2022-10-21,147.270004,LONG,HOLD
2022-10-24,149.449997,FLAT,SELL
2022-10-25,152.339996,FLAT,HOLD
2022-10-26,149.350006,LONG,BUY
2022-10-27,144.800003,LONG,HOLD
2022-10-28,155.740005,FLAT,SELL
2022-10-31,153.339996,LONG,BUY
2022-11-01,150.649994,LONG,HOLD
2022-11-14,148.279999,LONG,HOLD
2022-11-15,150.039993,LONG,HOLD
2022-11-16,148.789993,FLAT,SELL
2022-11-17,150.720001,LONG,BUY
2022-11-18,151.289993,LONG,HOLD
2022-11-21,148.009995,LONG,HOLD
2022-11-22,150.179993,LONG,HOLD
2022-11-23,151.070007,FLAT,SELL
2022-11-25,148.110001,FLAT,HOLD
2022-11-28,144.220001,FLAT,HOLD
2023-01-06,129.619995,LONG,BUY
2023-01-09,130.149994,LONG,HOLD
2023-01-10,130.729996,LONG,HOLD
2023-01-11,133.490005,LONG,HOLD
2023-01-12,133.410004,LONG,HOLD
2023-01-13,134.759995,FLAT,SELL
2023-01-17,135.940002,FLAT,HOLD
2023-01-18,135.210007,FLAT,HOLD
2023-01-19,135.270004,LONG,BUY
2023-01-20,137.869995,LONG,HOLD
2023-01-23,141.110001,FLAT,SELL
2023-01-24,142.529999,FLAT,HOLD
2023-01-25,141.860001,LONG,BUY
2023-01-26,143.960007,LONG,HOLD
2023-01-27,145.929993,LONG,HOLD
2023-01-30,143.0,FLAT,SELL
2023-01-31,144.289993,FLAT,HOLD
2023-02-02,150.820007,LONG,BUY
2023-02-03,154.5,FLAT,SELL
2023-02-06,151.729996,FLAT,HOLD
2023-02-07,154.649994,LONG,BUY
2023-02-08,151.919998,LONG,HOLD
2023-02-09,150.869995,LONG,HOLD
2023-02-10,151.009995,LONG,HOLD
2023-02-13,153.850006,FLAT,SELL
2023-02-14,153.199997,FLAT,HOLD
2023-02-15,155.330002,FLAT,HOLD
2023-02-16,153.710007,LONG,BUY
2023-02-17,152.550003,FLAT,SELL
2023-02-21,148.479996,LONG,BUY
2023-03-06,153.830002,FLAT,SELL
2023-03-07,151.600006,LONG,BUY
2023-03-08,152.869995,LONG,HOLD
2023-03-09,150.589996,LONG,HOLD
2023-03-10,148.5,FLAT,SELL
2023-03-13,150.470001,LONG,BUY
2023-03-14,152.589996,FLAT,SELL
2023-03-15,152.990005,LONG,BUY
2023-03-16,155.850006,LONG,HOLD
2023-03-17,155.0,FLAT,SELL
2023-03-20,157.399994,LONG,BUY
2023-03-21,159.279999,LONG,HOLD
2023-03-22,157.830002,LONG,HOLD
2023-03-23,158.929993,LONG,HOLD
2023-03-24,160.25,FLAT,SELL
2023-03-27,158.279999,FLAT,HOLD
2023-03-28,157.649994,FLAT,HOLD
2023-03-29,160.770004,LONG,BUY
2023-03-30,162.360001,FLAT,SELL
2023-03-31,164.899994,LONG,BUY
2023-04-03,166.169998,LONG,HOLD
2023-04-04,165.630005,LONG,HOLD
2023-04-05,163.759995,FLAT,SELL
2023-04-14,165.210007,FLAT,HOLD
2023-04-17,165.229996,FLAT,HOLD
2023-04-18,166.470001,FLAT,HOLD
2023-04-19,167.630005,FLAT,HOLD
2023-04-20,166.649994,FLAT,HOLD
2023-04-21,165.020004,LONG,BUY
2023-04-24,165.330002,FLAT,SELL
2023-04-25,163.770004,FLAT,HOLD
2023-04-26,163.759995,FLAT,HOLD
2023-04-27,168.410004,FLAT,HOLD
2023-04-28,169.679993,FLAT,HOLD
2023-05-01,169.589996,FLAT,HOLD
2023-05-02,168.539993,LONG,BUY
2023-05-03,167.449997,FLAT,SELL
2023-05-05,173.570007,LONG,BUY
2023-05-08,173.5,FLAT,SELL
2023-05-09,171.770004,LONG,BUY
2023-05-10,173.559998,LONG,HOLD
2023-05-11,173.75,LONG,HOLD
2023-05-12,172.570007,LONG,HOLD
2023-05-15,172.070007,FLAT,SELL
2023-05-16,172.070007,FLAT,HOLD
2023-05-17,172.690002,FLAT,HOLD
2023-05-18,175.050003,FLAT,HOLD
2023-05-19,175.160004,FLAT,HOLD
2023-05-22,174.199997,LONG,BUY
2023-05-23,171.559998,FLAT,SELL
2023-05-24,171.839996,FLAT,HOLD
2023-05-25,172.990005,FLAT,HOLD
2023-05-26,175.429993,LONG,BUY
2023-05-30,177.300003,LONG,HOLD
2023-05-31,177.25,LONG,HOLD
2023-06-01,180.089996,FLAT,SELL
2023-06-02,180.949997,FLAT,HOLD
2023-06-05,179.580002,LONG,BUY
2023-06-06,179.210007,FLAT,SELL
2023-06-14,183.949997,LONG,BUY
2023-06-15,186.009995,FLAT,SELL
2023-06-16,184.919998,FLAT,HOLD
2023-06-20,185.009995,LONG,BUY
2023-06-21,183.960007,LONG,HOLD
2023-06-22,187.0,LONG,HOLD
2023-06-23,186.679993,FLAT,SELL
2023-06-26,185.270004,LONG,BUY
2023-06-27,188.059998,FLAT,SELL
2023-06-28,189.25,FLAT,HOLD
2023-06-29,189.589996,FLAT,HOLD
2023-06-30,193.970001,LONG,BUY
2023-07-03,192.460007,LONG,HOLD
2023-07-05,191.330002,FLAT,SELL
2023-07-17,193.990005,LONG,BUY
2023-07-18,193.729996,FLAT,SELL
2023-07-19,195.100006,FLAT,HOLD
2023-07-20,193.130005,LONG,BUY
2023-07-21,191.940002,LONG,HOLD
2023-07-24,192.75,LONG,HOLD
2023-07-25,193.619995,LONG,HOLD
2023-07-26,194.5,FLAT,SELL
2023-07-27,193.220001,LONG,BUY
2023-07-28,195.830002,LONG,HOLD
2023-07-31,196.449997,FLAT,SELL
2023-08-01,195.610001,LONG,BUY
