trade_date,close_price,portfolio_value_PPO_RawPrice,portfolio_value_TA_RSI,portfolio_value_TA_MACD,portfolio_value_TA_SMA_Crossover,portfolio_value_TA_Stochastic,portfolio_value_TA_All_Signals,portfolio_value_Buy_and_Hold,pnl_PPO_RawPrice
2022-10-18,143.75,143.75,143.75,143.75,143.75,143.75,143.75,143.75,0.0
2022-10-19,143.860001,143.75,143.75,143.75,143.75,143.75,143.75,143.860001,0.0
2022-10-20,143.389999,143.75,143.75,143.28035738196607,143.75,143.28035738196607,143.75,143.389999,0.0
2022-10-21,147.270004,143.75,143.75,147.1573955779411,143.75,147.1573955779411,143.75,147.270004,0.0
2022-10-24,149.449997,143.75,143.75,149.3357216697781,143.75,149.3357216697781,143.75,149.449997,0.0
2022-10-25,152.339996,146.5297749387041,143.75,152.22351086317593,143.75,152.22351086317593,143.75,152.339996,2.7797749387040938
2022-10-26,149.350006,143.653822639421,140.9286065788002,149.23580712681908,143.75,149.23580712681908,143.75,149.350006,-0.09617736057899151
2022-10-27,144.800003,143.653822639421,140.9286065788002,149.23580712681908,143.75,144.6892832375971,143.75,144.800003,-0.09617736057899151
2022-10-28,155.740005,154.50722784952248,140.9286065788002,149.23580712681908,143.75,155.62092008292143,143.75,155.740005,10.75722784952248
2022-10-31,153.339996,152.12621638490938,138.75684650889025,146.93603013485978,143.75,153.22274622394866,143.75,153.339996,8.376216384909384
2022-11-01,150.649994,149.45750739180465,136.32267274888434,144.35837117277896,143.75,150.53480110499927,143.75,150.649994,5.707507391804654
2022-11-14,148.279999,147.10627234807117,136.32267274888434,144.35837117277896,143.75,148.16661829614475,143.75,148.279999,3.3562723480711725
2022-11-15,150.039993,148.8523349218575,136.32267274888434,144.35837117277896,143.75,149.92526653569257,143.75,150.039993,5.102334921857505
2022-11-16,148.789993,147.61222943443374,136.32267274888434,143.15570540108718,143.75,148.67622233472667,143.75,148.789993,3.8622294344337433
2022-11-17,150.720001,147.61222943443374,136.32267274888434,145.01262904964022,143.75,150.6047545749009,143.75,150.720001,3.8622294344337433
2022-11-18,151.289993,148.17046848248015,136.83821701885475,145.56103694447074,143.75,151.1743107366585,143.75,151.289993,4.420468482480146
2022-11-21,148.009995,144.9581024122299,133.8715364787518,142.40524388381675,143.75,147.89682075179465,143.75,148.009995,1.2081024122298913
2022-11-22,150.179993,147.08335613119888,133.8715364787518,142.40524388381675,143.75,150.06515948620074,143.75,150.179993,3.333356131198883
