trade_date,close_price,position,action
2015-12-02,29.07,FLAT,HOLD
2015-12-03,28.799999,LONG,BUY
2015-12-04,29.7575,LONG,HOLD
2015-12-07,29.57,LONG,HOLD
2015-12-08,29.557501,LONG,HOLD
2015-12-09,28.905001,FLAT,SELL
2015-12-10,29.0425,FLAT,HOLD
2016-04-01,27.497499,LONG,BUY
2016-04-04,27.780001,LONG,HOLD
2016-04-05,27.452499,LONG,HOLD
2016-04-06,27.74,LONG,HOLD
2016-04-07,27.135,FLAT,SELL
2016-04-08,27.165001,LONG,BUY
2016-04-11,27.254999,LONG,HOLD
2016-04-12,27.610001,LONG,HOLD
2016-04-13,28.01,LONG,HOLD
2016-04-14,28.025,LONG,HOLD
2016-04-15,27.4625,FLAT,SELL
2016-05-16,23.469999,FLAT,HOLD
2016-05-17,23.372499,FLAT,HOLD
2016-05-18,23.639999,LONG,BUY
2016-05-19,23.549999,FLAT,SELL
2016-05-20,23.805,FLAT,HOLD
2016-05-23,24.1075,LONG,BUY
2016-05-24,24.475,LONG,HOLD
2016-05-25,24.905001,LONG,HOLD
2016-05-26,25.102501,LONG,HOLD
2016-05-27,25.0875,LONG,HOLD
2016-05-31,24.965,LONG,HOLD
2016-06-01,24.615,LONG,HOLD
2016-06-06,24.657499,LONG,HOLD
2016-06-07,24.7575,LONG,HOLD
2016-06-08,24.735001,LONG,HOLD
2016-06-09,24.9125,LONG,HOLD
2016-06-10,24.7075,LONG,HOLD
2016-06-30,23.9,FLAT,SELL
2016-10-03,28.129999,LONG,BUY
2016-10-04,28.25,LONG,HOLD
2016-10-05,28.262501,FLAT,SELL
2016-10-06,28.4725,LONG,BUY
2016-10-07,28.514999,LONG,HOLD
2016-10-10,29.012501,LONG,HOLD
2016-10-11,29.075001,FLAT,SELL
2016-10-12,29.334999,LONG,BUY
2016-10-13,29.245001,LONG,HOLD
2016-10-14,29.407499,LONG,HOLD
2016-10-17,29.387501,LONG,HOLD
2016-10-18,29.3675,FLAT,SELL
2016-10-25,29.5625,LONG,BUY
2016-11-16,27.497499,LONG,HOLD
2016-11-17,27.487499,FLAT,SELL
2016-11-18,27.514999,FLAT,HOLD
2016-11-21,27.932501,LONG,BUY
2016-11-22,27.950001,FLAT,SELL
2016-11-23,27.807501,FLAT,HOLD
2016-11-25,27.9475,LONG,BUY
2016-11-28,27.8925,LONG,HOLD
2016-11-29,27.865,LONG,HOLD
2016-11-30,27.629999,FLAT,SELL
2016-12-01,27.372499,FLAT,HOLD
2016-12-08,28.030001,LONG,BUY
2016-12-09,28.487499,LONG,HOLD
2016-12-12,28.325001,LONG,HOLD
2016-12-13,28.797501,LONG,HOLD
2016-12-14,28.797501,LONG,HOLD
2016-12-15,28.955,LONG,HOLD
2016-12-16,28.9925,FLAT,SELL
2016-12-19,29.16,LONG,BUY
2016-12-20,29.237499,LONG,HOLD
2016-12-21,29.264999,LONG,HOLD
2016-12-22,29.0725,FLAT,SELL
2016-12-23,29.129999,LONG,BUY
2016-12-27,29.315001,LONG,HOLD
2016-12-28,29.190001,LONG,HOLD
2016-12-29,29.182501,LONG,HOLD
2017-04-03,35.924999,LONG,HOLD
2017-04-04,36.192501,LONG,HOLD
2017-04-05,36.005001,LONG,HOLD
2017-04-06,35.915001,FLAT,SELL
2017-04-07,35.834999,LONG,BUY
2017-04-10,35.7925,FLAT,SELL
2017-04-25,36.1325,LONG,BUY
2017-04-26,35.919998,FLAT,SELL
2017-04-27,35.947498,FLAT,HOLD
2017-04-28,35.912498,FLAT,HOLD
2017-05-01,36.645,LONG,BUY
2017-05-02,36.877499,LONG,HOLD
2017-05-03,36.764999,LONG,HOLD
2017-05-04,36.6325,LONG,HOLD
2017-05-05,37.240002,LONG,HOLD
2017-05-08,38.252499,LONG,HOLD
2017-05-09,38.497501,LONG,HOLD
2017-05-10,38.314999,LONG,HOLD
2017-05-11,38.487499,LONG,HOLD
2017-05-12,39.025002,LONG,HOLD
2017-05-15,38.924999,LONG,HOLD
2017-05-16,38.8675,LONG,HOLD
2017-06-02,38.862499,LONG,HOLD
2017-06-05,38.482498,LONG,HOLD
2017-06-06,38.612499,LONG,HOLD
2017-06-07,38.842499,LONG,HOLD
2017-06-08,38.747501,FLAT,SELL
2017-10-05,38.8475,FLAT,HOLD
2017-10-06,38.825001,FLAT,HOLD
2017-10-09,38.959999,FLAT,HOLD
2017-10-10,38.974998,LONG,BUY
2017-10-11,39.137501,LONG,HOLD
2017-10-12,39.0,FLAT,SELL
2017-10-13,39.247501,LONG,BUY
2017-10-16,39.970001,LONG,HOLD
2017-10-17,40.1175,LONG,HOLD
2017-10-18,39.939999,FLAT,SELL
2017-10-19,38.994999,FLAT,HOLD
2017-10-20,39.0625,FLAT,HOLD
2017-10-27,40.762501,LONG,BUY
2017-10-30,41.68,LONG,HOLD
2017-10-31,42.259998,LONG,HOLD
2017-11-01,41.7225,LONG,HOLD
2017-11-02,42.0275,LONG,HOLD
2017-11-03,43.125,LONG,HOLD
2017-11-06,43.5625,LONG,HOLD
2017-11-07,43.702499,LONG,HOLD
2017-11-08,44.060001,LONG,HOLD
2017-11-09,43.970001,LONG,HOLD
2017-11-10,43.6675,LONG,HOLD
2017-11-13,43.4925,FLAT,SELL
2017-11-14,42.834999,FLAT,HOLD
2017-11-24,43.7425,LONG,BUY
2017-11-27,43.522499,FLAT,SELL
2017-11-28,43.267502,LONG,BUY
2017-12-13,43.067501,LONG,HOLD
2017-12-14,43.055,LONG,HOLD
2017-12-15,43.4925,LONG,HOLD
2017-12-18,44.105,LONG,HOLD
2017-12-19,43.634998,LONG,HOLD
2017-12-20,43.587502,LONG,HOLD
2017-12-21,43.752499,LONG,HOLD
2017-12-22,43.752499,LONG,HOLD
2018-04-05,43.200001,LONG,HOLD
2018-04-06,42.095001,FLAT,SELL
2018-04-09,42.512501,FLAT,HOLD
2018-04-10,43.3125,FLAT,HOLD
2018-04-11,43.110001,LONG,BUY
2018-04-12,43.535,LONG,HOLD
2018-04-13,43.682499,LONG,HOLD
2018-04-16,43.955002,LONG,HOLD
2018-04-17,44.560001,LONG,HOLD
2018-04-18,44.459999,LONG,HOLD
2018-04-19,43.200001,FLAT,SELL
2018-05-02,44.142502,LONG,BUY
2018-05-03,44.2225,LONG,HOLD
2018-05-04,45.9575,LONG,HOLD
2018-05-07,46.290001,LONG,HOLD
2018-05-08,46.512501,LONG,HOLD
2018-05-09,46.84,LONG,HOLD
2018-05-10,47.509998,LONG,HOLD
2018-05-11,47.147499,FLAT,SELL
2018-05-14,47.037498,FLAT,HOLD
2018-05-15,46.610001,LONG,BUY
2018-05-16,47.044998,LONG,HOLD
2018-05-17,46.747501,FLAT,SELL
2018-05-18,46.577499,FLAT,HOLD
2018-05-21,46.907501,LONG,BUY
2018-05-22,46.790001,FLAT,SELL
2018-05-23,47.09,LONG,BUY
2018-05-24,47.037498,LONG,HOLD
2018-05-25,47.145,LONG,HOLD
2018-05-29,46.974998,LONG,HOLD
2018-05-30,46.875,LONG,HOLD
2018-05-31,46.717499,LONG,HOLD
2018-06-01,47.560001,LONG,HOLD
2018-06-04,47.9575,LONG,HOLD
2018-06-05,48.327499,LONG,HOLD
2018-06-06,48.494999,LONG,HOLD
2018-06-07,48.365002,FLAT,SELL
2018-06-08,47.924999,LONG,BUY
2018-06-11,47.807499,LONG,HOLD
2018-06-12,48.07,LONG,HOLD
2018-06-29,46.2775,LONG,HOLD
2018-10-01,56.814999,LONG,HOLD
2018-10-02,57.32,LONG,HOLD
2018-10-03,58.017502,LONG,HOLD
2018-10-04,56.997501,FLAT,SELL
2018-10-05,56.072498,FLAT,HOLD
2018-10-24,53.772499,FLAT,HOLD
2018-10-25,54.950001,FLAT,HOLD
2018-11-01,55.555,LONG,BUY
2018-11-29,44.887501,FLAT,SELL
2018-11-30,44.645,FLAT,HOLD
2018-12-03,46.205002,FLAT,HOLD
2018-12-04,44.172501,FLAT,HOLD
2018-12-31,39.435001,FLAT,HOLD
2019-04-03,48.837502,LONG,BUY
2019-04-04,48.922501,LONG,HOLD
2019-04-05,49.25,LONG,HOLD
2019-04-08,50.025002,LONG,HOLD
2019-04-09,49.875,LONG,HOLD
2019-04-10,50.154999,LONG,HOLD
2019-04-11,49.737499,FLAT,SELL
2019-04-12,49.717499,LONG,BUY
2019-04-15,49.807499,LONG,HOLD
2019-04-16,49.8125,LONG,HOLD
2019-04-17,50.782501,LONG,HOLD
2019-04-18,50.965,LONG,HOLD
2019-04-22,51.1325,LONG,HOLD
2019-04-23,51.869999,LONG,HOLD
2019-04-24,51.790001,LONG,HOLD
2019-04-25,51.32,FLAT,SELL
2019-04-26,51.075001,LONG,BUY
2019-04-29,51.1525,LONG,HOLD
2019-05-01,52.630001,LONG,HOLD
2019-05-02,52.287498,LONG,HOLD
2019-05-03,52.9375,LONG,HOLD
2019-05-06,52.119999,LONG,HOLD
2019-05-07,50.715,LONG,HOLD
2019-05-08,50.724998,FLAT,SELL
2019-06-05,45.634998,FLAT,HOLD
2019-06-06,46.305,FLAT,HOLD
2019-06-07,47.537498,LONG,BUY
2019-06-10,48.145,FLAT,SELL
2019-06-11,48.702499,LONG,BUY
2019-06-12,48.547501,FLAT,SELL
2019-06-13,48.537498,LONG,BUY
2019-06-14,48.185001,LONG,HOLD
2019-06-17,48.4725,LONG,HOLD
2019-06-18,49.612499,LONG,HOLD
2019-06-19,49.467499,FLAT,SELL
2019-06-20,49.865002,FLAT,HOLD
2019-06-21,49.695,LONG,BUY
2019-06-24,49.645,LONG,HOLD
2019-06-25,48.892502,FLAT,SELL
2019-06-26,49.950001,LONG,BUY
2019-06-27,49.935001,FLAT,SELL
2019-06-28,49.48,LONG,BUY
2019-10-01,56.147499,LONG,HOLD
2019-10-02,54.740002,FLAT,SELL
2019-10-07,56.764999,LONG,BUY
2019-10-08,56.099998,LONG,HOLD
2019-10-09,56.7575,LONG,HOLD
2019-10-10,57.522499,LONG,HOLD
2019-10-11,59.052502,LONG,HOLD
2019-10-14,58.967499,LONG,HOLD
2019-10-15,58.830002,LONG,HOLD
2019-10-16,58.592499,LONG,HOLD
2019-10-17,58.82,FLAT,SELL
2019-10-18,59.102501,LONG,BUY
2019-10-21,60.127499,LONG,HOLD
2019-10-22,59.990002,LONG,HOLD
2019-10-23,60.794998,LONG,HOLD
2019-10-24,60.895,LONG,HOLD
2019-10-25,61.645,LONG,HOLD
2019-10-28,62.262501,LONG,HOLD
2019-10-29,60.822498,FLAT,SELL
2019-10-30,60.814999,LONG,BUY
2019-11-01,63.955002,LONG,HOLD
2019-11-04,64.375,LONG,HOLD
2019-11-05,64.282501,LONG,HOLD
2019-11-06,64.309998,LONG,HOLD
2019-11-07,64.857498,LONG,HOLD
2019-11-08,65.035004,LONG,HOLD
2019-11-11,65.550003,LONG,HOLD
2019-11-12,65.489998,LONG,HOLD
2019-11-13,66.1175,LONG,HOLD
2019-11-14,65.660004,FLAT,SELL
2019-11-15,66.440002,LONG,BUY
2019-11-18,66.775002,LONG,HOLD
2019-11-19,66.572502,FLAT,SELL
2019-11-20,65.797501,LONG,BUY
2019-11-27,66.959999,LONG,HOLD
2019-11-29,66.8125,LONG,HOLD
2019-12-02,66.040001,FLAT,SELL
2019-12-06,67.677498,LONG,BUY
2019-12-09,66.730003,LONG,HOLD
2019-12-10,67.120003,LONG,HOLD
2019-12-11,67.692497,LONG,HOLD
2019-12-12,67.864998,LONG,HOLD
2019-12-13,68.787498,LONG,HOLD
2019-12-16,69.964996,LONG,HOLD
2019-12-17,70.102501,LONG,HOLD
2019-12-18,69.934998,LONG,HOLD
2019-12-19,70.004997,LONG,HOLD
2019-12-20,69.860001,FLAT,SELL
2019-12-23,71.0,LONG,BUY
2019-12-24,71.067497,LONG,HOLD
2019-12-26,72.477501,LONG,HOLD
2019-12-27,72.449997,FLAT,SELL
2019-12-30,72.879997,LONG,BUY
2019-12-31,73.412498,LONG,HOLD
2020-04-01,60.227501,FLAT,SELL
2020-04-02,61.232498,FLAT,HOLD
2020-04-03,60.352501,FLAT,HOLD
2020-04-06,65.6175,LONG,BUY
2020-04-07,64.857498,FLAT,SELL
2020-04-08,66.517502,LONG,BUY
2020-04-09,66.997498,LONG,HOLD
2020-04-13,68.3125,LONG,HOLD
2020-04-14,71.762497,LONG,HOLD
2020-04-15,71.107498,LONG,HOLD
2020-04-16,71.672501,LONG,HOLD
2020-04-17,70.699997,LONG,HOLD
2020-04-20,69.232498,LONG,HOLD
2020-04-29,71.932503,LONG,HOLD
2020-04-30,73.449997,LONG,HOLD
2020-05-01,72.267502,LONG,HOLD
2020-05-04,73.290001,LONG,HOLD
2020-05-05,74.389999,LONG,HOLD
2020-05-06,75.157501,LONG,HOLD
2020-05-07,75.934998,LONG,HOLD
2020-05-08,77.532501,LONG,HOLD
2020-05-11,78.752502,LONG,HOLD
2020-05-12,77.852501,FLAT,SELL
2020-05-13,76.912498,FLAT,HOLD
2020-05-14,77.385002,LONG,BUY
2020-05-20,79.807503,LONG,HOLD
2020-05-21,79.212502,LONG,HOLD
2020-05-22,79.722504,LONG,HOLD
2020-05-26,79.182503,LONG,HOLD
2020-05-27,79.527496,LONG,HOLD
2020-05-28,79.5625,LONG,HOLD
2020-05-29,79.485001,LONG,HOLD
2020-06-01,80.462502,LONG,HOLD
2020-06-02,80.834999,LONG,HOLD
2020-06-03,81.279999,LONG,HOLD
2020-06-04,80.580002,LONG,HOLD
2020-06-05,82.875,LONG,HOLD
2020-06-08,83.364998,LONG,HOLD
2020-06-09,85.997498,LONG,HOLD
2020-06-10,88.209999,LONG,HOLD
